A  @
AYKROYD   " e&I . % k r O&I d
AYKROYD(2)   " a&I . % k r O&I d
AYLER   " e&I . l @`
AYLES   " e&I l z
AYLESWORTH   " e&I l z . w @` T
AYLESWORTH(2)   " e&I . @ l z . w @` T
AYLING   " e&I . l I N
AYLMER   " e&I l . m @`
AYLOR   " e&I . l @`
AYLSWORTH   " e&I l . s w @` T
AYLWARD   " e&I l . w @` d
AYLWIN   " e&I l . w I n
AYLWIN(2)   " a&I l . % w I n
AYLWORTH   " e&I l . w @` T
AYMOND   " e&I . m @ n d
AYN   " e&I n
AYNES   " e&I n z
AYO   " e&I . o&U
AYODHYA   % a&I . " A . d j @
AYON  e&I . " O n
AYOTTE  e&I . " O t
AYOUB   " e&I . a&U b
AYR   " e&I r
AYRE   " E r
AYRES   " E r z
AYSCUE   " e&I . s k j u
AYTES   " e&I t s
AYUSO  a&I . " u . s o&U
AYYAD   % a&I . " A d
AYYAD'S   % a&I . " A d z
AYYAD'S(2)   % a&I . " { d z
AYYAD(2)   % a&I . " { d
AYYASH   " a&I j . % { S
AZACTAM  @ . " z { k . t { m
AZALEA  @ . " z e&I . l j @
AZALEAS  @ . " z e&I . l j @ z
AZALIA  A . " z A . l i . @
AZAR  A . " z A r
AZAROW   " { . z @` . o&U
AZBELL   " { z . b E l
AZBILL  A z . " b i l
AZCARRAGA  { z . % k A . " r A . g @
AZCONA  { z . " k o&U . n @
AZCUENAGA  { z . % k w e&I . " n A . g @
AZELIA  A . " z E . l i . @
AZERBAIJAN   % A . z @` . b a&I . " d&Z A n
AZERBAIJAN'S   % A . z @` . b a&I . " d&Z A n z
AZERBAIJAN'S(2)   % { . z @` . b a&I . " d&Z A n z
AZERBAIJAN(2)   % { . z @` . b a&I . " d&Z A n
AZERBAIJANI   % A . z @` . b a&I . " d&Z A . n i
AZERBAIJANI(2)   % { . z @` . b a&I . " d&Z A . n i
AZERBAIJANIS   % A . z @` . b a&I . " d&Z A . n i z
AZERBAIJANIS(2)   % { . z @` . b a&I . " d&Z A . n i z
AZERI  @ . " z E . r i
AZEVEDO  A . z e&I . " v e&I . d o&U
AZHAR  @ . " z A r
AZHAR'S  @ . " z A r z
AZIDES   " { . % z a&I d z
AZIDOTHYMIDINE  @ . % z I . d @ . " T a&I . m @ . % d i n
AZIDOTHYMIDINE(2)  @ . % z I . d @ . " T a&I . m @ . % d a&I n
AZIDOTHYMIDINE(3)  e&I . % z a&I . d @ . " T a&I . m @ . % d i n
AZIDOTHYMIDINE(4)  e&I . % z a&I . d @ . " T a&I . m @ . % d a&I n
AZINGER   " e&I . z I . N @`
AZIZ  @ . " z i z
AZMEER   " { z . % m I r
AZOFF   " { . z O f
AZORES  @ . " z O r z
AZPURUA  { z . " p j Ur . r u . @
AZTAR   " { z . t @`
AZTEC   " { z . % t E k
AZTECA   % { z . " t E . k @
AZTECS   " { z . % t E k s
AZURA  @ . " z Ur . r @
AZURE   " { . Z @`
AZZARA  A t . " s A . r @
AZZARELLO  A t . s A . " r E . l o&U
AZZARO  A t . " s A . r o&U
AZZATO  @ . " z A . t o&U
AZZOPARDI  A t . s o&U . " p A r . d i
B   " b i 
B'GOSH  b @ . " g O S
B'NAI  b @ . " n e&I 
B'RITH   " b r I T
B'S   " b i z
B-J   " b i . " d&Z e&I 
B-J'S   " b i . " d&Z e&I z
B.   " b i 
B.'S   " b i z
B.S   " b i z
BA'ATH   " b A T
BA'ATH(2)  b @ . " A T
BAAB   " b A b
BAACK   " b A k
BAADE   " b A d
BAALBEK   " b A l . b E k
BAALBEQ   " b A l . b E k
BAAR   " b A r
BAARS   " b A r z
BAAS   " b A z
BAASCH   " b A S
BAATZ   " b A t s
BAB   " b { b
BABA   " b A . b @
BABANGIDA  b @ . " b A N . g I . d @
BABANGIDA(2)  b @ . " b { N . g I . d @
BABB   " b { b
BABBAGE   " b { . b I d&Z
BABBAGE'S   " b { . b I . d&Z I z
BABBIO   " b { . b i . o&U
BABBIT   " b { . b I t
BABBIT'S   " b { . b I t s
BABBITT   " b { . b I t
BABBITT'S   " b { . b @ t s
BABBITTS   " b { . b @ t s
BABBLE   " b { . b @ l
BABBLED   " b { . b @ l d
BABBLER   " b { . b l @`
BABBLERS   " b { . b l @` z
BABBLING   " b { . b @ l . I N
BABBLING(2)   " b { . b l I N
BABBS   " b { b z
BABCOCK   " b { b . k O k
BABE   " b e&I b
BABEL   " b { . b @ l
BABER   " b e&I . b @`
BABERS   " b e&I . b @` z
BABES   " b e&I b z
BABETTE  b @ . " b E t
BABIAK   " b A . b i . { k
BABIARZ  b @ . " b i . @` z
BABIC   " b A . b I k
BABICH   " b { . b I t&S
BABIES   " b e&I . b i z
BABIES'   " b e&I . b i z
BABIK   " b A . b I k
BABIN   " b { . b I n
BABINEAU   " b { . b I . % n o&U 
BABINEAUX   " b { . b I . % n o&U 
BABINGTON   " b { . b I N . t @ n
BABINO  b A . " b i . n o&U
BABINSKI  b @ . " b I n . s k i
BABISH   " b { . b I S
BABITA  b A . " b i . t @
BABKA   " b { b . k @
BABLER   " b e&I . b @ l . @`
BABOON  b @ . " b u n
BABOON'S  b { . " b u n z
BABOON'S(2)  b @ . " b u n z
BABOONS  b { . " b u n z
BABOONS(2)  b @ . " b u n z
BABS   " b { b z
BABSON   " b { b . s @ n
BABU  b A . " b u 
BABULA  b A . " b u . l @
BABUSHKA  b @ . " b Ur S . k @
BABUSHKAS  b @ . " b Ur S . k @ z
BABY   " b e&I . b i
BABY'S   " b e&I . b i z
BABYAK   " b { . b i . { k
BABYHOOD   " b e&I . b i . % h Ur d
BABYISH   " b e&I . b i . I S
BABYLON   " b { . b @ . % l A n
BABYLONIAN   % b { . b @ . " l o&U . n i . @ n
BABYLONIANS   % b { . b @ . " l o&U . n i . @ n z
BABYSAT   " b e&I . b i . % s { t
BABYSIT   " b e&I . b i . s I t
BABYSITTER   " b e&I . b i . % s I . t @`
BABYSITTERS   " b e&I . b i . % s I . t @` z
BABYSITTING   " b e&I . b i . % s I . t I N
BACA   " b { . k @
BACALL  b @ . " k O l
BACARDI  b @ . " k A r . d i
BACCALAUREATE   % b { . k @ . " l O . r i . @ t
BACCARAT   % b A . k @` . " A 
BACCARI  b A . " k A . r i
BACCHANALIA   % b { . k @ . " n e&I . l j @
BACCHI   " b { . k i
BACCHUS   " b { . k I s
BACCI   " b A . t&S i
BACCUS   " b { . k @ s
BACH   " b A k
BACHA   " b { . t&S @
BACHAND   " b { . t&S @ n d
BACHAR   " b A . k @`
BACHARACH   " b { . k @` . { k
BACHE   " b { t&S
BACHE'S   " b { . t&S I z
BACHE'S(2)   " b e&I . t&S I z
BACHE(2)   " b e&I t&S
BACHELDER   " b A . k I l . d @`
BACHELLER   " b A . k @ . l @`
BACHELOR   " b { . t&S @ . l @`
BACHELOR'S   " b { . t&S @ . l @` z
BACHELOR'S(2)   " b { t&S . l @` z
BACHELOR(2)   " b { t&S . l @`
BACHELORS   " b { t&S . l @` z
BACHER   " b A . k @`
BACHERA   " b A . k @` . @
BACHERT   " b { . t&S @` t
BACHLER   " b { k . l @`
BACHMAN   " b A k . m @ n
BACHMANN   " b A k . m @ n
BACHMEIER   " b A k . m a&I . @`
BACHNER   " b A k . n @`
BACHRACH   " b A . k r @ k
BACHTEL   " b { k . t @ l
BACHTELL   " b { k . t @ l
BACHUS   " b { . t&S @ s
BACIGALUPI  b A . t&S i . g A . " l u . p i
BACIGALUPO  b A . t&S i . g A . " l u . p o&U
BACIK   " b A . t&S I k
BACILLUS  b @ . " s I . l @ s
BACINO  b A . " t&S i . n o&U
BACK   " b { k
BACKACHE   " b { k . % e&I k
BACKACHES   " b { k . % e&I k s
BACKBITE   " b { k . % b a&I t
BACKBITING   " b { k . % b a&I . t I N
BACKBOARD   " b { k . % b O d
BACKBONE   " b { k . % b o&U n
BACKDATE   " b { k . % d e&I t
BACKDATED   " b { k . % d e&I . t I d
BACKDOOR   " b { k . % d O r
BACKDROP   " b { k . % d r A p
BACKDROPS   " b { k . % d r A p s
BACKE   " b { k
BACKED   " b { k t
BACKER   " b { . k @`
BACKER'S   " b { . k @` z
BACKERS   " b { . k @` z
BACKES   " b { k s
BACKFIELD   " b { k . % f i l d
BACKFIRE   " b { k . % f a&I r
BACKFIRED   " b { k . % f a&I . @` d
BACKFIRES   " b { k . % f a&I . @` z
BACKFIRING   " b { k . % f a&I . @` . I N
BACKGAMMON   " b { k . % g { . m @ n
BACKGROUND   " b { k . % g r a&U n d
BACKGROUNDS   " b { k . % g r a&U n d z
BACKHAND   " b { k . % h { n d
BACKHANDED   " b { k . % h { n . d @ d
BACKHANDED(2)   " b { k . % h { n . d I d
BACKHAUS   " b { k . % h a&U s
BACKHOE   " b { k . % h o&U 
BACKING   " b { . k I N
BACKLASH   " b { k . % l { S
BACKLESS   " b { k . l @ s
BACKLIGHT   " b { k . % l a&I t
BACKLIGHTS   " b { k . % l a&I t s
BACKLIST   " b { k . % l I s t
BACKLOG   " b { k . % l A g
BACKLOG(2)   " b { k . % l O g
BACKLOGGED   " b { k . % l A g d
BACKLOGS   " b { k . % l O g z
BACKLUND   " b { k . l @ n d
BACKMAN   " b { k . m @ n
BACKPACK   " b { k . % p { k
BACKPACKS   " b { k . % p { k s
BACKPEDAL   " b { k . % p E . d @ l
BACKPEDALED   " b { k . % p E . d @ l d
BACKPEDALING   " b { k . % p E . d @ l . I N
BACKPEDALING(2)   " b { k . % p E d . l I N
BACKREST   " b { . % k r E s t
BACKROOM   " b { k . % r u m
BACKS   " b { k s
BACKSAW   " b { k . % s A 
BACKSAW(2)   " b { k . % s O 
BACKSEAT  b { k . " s i t
BACKSET   " b { k . % s E t
BACKSIDE   " b { k . % s a&I d
BACKSLAP   " b { k . % s l { p
BACKSLAPPING   " b { k . % s l { . p I N
BACKSLASH   " b { k . % s l { S
BACKSLIDE   " b { k . % s l a&I d
BACKSLIDING   " b { k . % s l a&I . d I N
BACKSPIN   " b { k . s p I n
BACKSTAGE   " b { k . " s t e&I d&Z
BACKSTAIRS   " b { k . % s t E r z
BACKSTITCH   " b { k . s t I t&S
BACKSTOP   " b { k . % s t A p
BACKSTROKE   " b { k . % s t r o&U k
BACKSTROM   " b { k . s t r @ m
BACKTRACK   " b { k . % t r { k
BACKTRACKED   " b { k . % t r { k t
BACKTRACKING   " b { k . % t r { . k I N
BACKUP   " b { k . % V p
BACKUPS   " b { k . % V p s
BACKUS   " b { . k @ s
BACKWARD   " b { k . w @` d
BACKWARDATION   % b { k . w @` . " d e&I . S @ n
BACKWARDNESS   " b { . k w @` d . n @ s
BACKWARDS   " b { k . w @` d z
BACKWASH   " b { k . % w A S
BACKWATER   " b { k . % w O . t @`
BACKWATERS   " b { k . % w O . t @` z
BACKWOODS   " b { k . " w Ur d z
BACKWOODSMAN   " b { k . " w Ur d z . m @ n
BACKYARD   " b { k . % j A r d
BACKYARDS   " b { k . % j A r d z
BACON   " b e&I . k @ n
BACON'S   " b e&I . k @ n z
BACORN   " b { . k @` n
BACOT   " b { . k @ t
BACOT(2)   " b e&I . k { t
BACOTE  b @ . " k o&U t
BACTERIA  b { k . " t I . r i . @
BACTERIAL  b { k . " t I . r i . @ l
BACTERIOLOGY   % b { k . t I . % r i . " A . l @ . d&Z i
BACTERIUM  b { k . " t I . r i . @ m
BACUS   " b { . k I s
BAD   " b { d
BADA   " b A . d @
BADAL   " b e&I . d @ l
BADALAMENTI  b A . d A . l A . " m E n . t i
BADAMI  b A . " d A . m i
BADAVATZ   " b { . d @ . % v { t s
BADDERS   " b { . d @` z
BADE   " b e&I d
BADEAH  b @ . " d i . @
BADEAU  b @ . " d o&U 
BADEAUX  b @ . " d o&U 
BADEN   " b e&I . d @ n
BADEN'S   " b A . d @ n z
BADER   " b { . d @`
BADER(2)   " b e&I . d @`
BADERTSCHER   " b { . d @` . t&S @`
BADGE   " b { d&Z
BADGER   " b { . d&Z @`
BADGER'S   " b { . d&Z @` z
BADGERED   " b { . d&Z @` d
BADGERING   " b { . d&Z @` . I N
BADGERS   " b { . d&Z @` z
BADGES   " b { . d&Z I z
BADGETT   " b { . d&Z I t
BADGLEY   " b { d&Z . l i
BADIA   " b A . d i . @
BADILLO  b @ . " d I . l o&U
BADLAND   " b { d . % l { n d
BADLANDS   " b { d . % l { n d z
BADLEY   " b { d . l i
BADLY   " b { d . l i
BADMAN   " b { d . m @ n
BADMINTON   " b { d . % m I n . t @ n
BADMINTONS   " b { d . % m I n . t @ n z
BADNESS   " b { d . n @ s
BADOLATO  b A . d o&U . " l A . t o&U
BADOUR  b @ . " d Ur r
BADURA  b A . " d Ur . r @
BADY   " b e&I . d i
BAE   " b a&I 
BAECHLE   " b E . k @ l
BAECKER   " b E . k @`
BAEDEKER   " b e&I . d @ . k @`
BAEDEKER'S   " b e&I . d @ . k @` z
BAEHR   " b i r
BAEHR(2)   " b E r
BAEK   " b i k
BAEK(2)   " b E k
BAER   " b E r
BAERWALD   " b E r . w O l d
BAETEN   " b E . t @ n
BAETJER   " b E t . d&Z @`
BAETZ   " b i t s
BAEZ  b a&I . " E z
BAEZA   " b i . z @
BAFFA   " b { . f @
BAFFLE   " b { . f @ l
BAFFLED   " b { . f @ l d
BAFFLES   " b { . f @ l z
BAFFLING   " b { . f @ l . I N
BAFFLING(2)   " b { . f l I N
BAFOKENG   " b { . f o&U . % k E N
BAG   " b { g
BAGAN   " b e&I . g @ n
BAGBY   " b { g . b i
BAGDAD   " b { g . d { d
BAGDASARIAN   % b { g . d @ . " s E . r i . @ n
BAGDIKIAN   % b { g . " d I . k i . @ n
BAGDON   " b { g . d @ n
BAGDONAS   " b { g . d @ . n @ z
BAGEL   " b e&I . g @ l
BAGELAND   " b e&I . g @ . l { n d
BAGELS   " b e&I . g @ l z
BAGENT   " b e&I . d&Z @ n t
BAGFUL   " b { g . % f Ur l
BAGG   " b { g
BAGGAGE   " b { . g @ d&Z
BAGGAGE(2)   " b { . g I d&Z
BAGGE   " b { g
BAGGED   " b { g d
BAGGERLY   " b { . g @` . l i
BAGGETT   " b { . g I t
BAGGIE   " b { . g i
BAGGINESS   " b { . g i . n @ s
BAGGING   " b { . g I N
BAGGIO   " b A . d&Z i . o&U
BAGGIO'S   " b A . d&Z i . o&U z
BAGGOTT   " b { . g @ t
BAGGS   " b { g z
BAGGY   " b { . g i
BAGHDAD   " b { g . d { d
BAGHDAD'S   " b { g . d { d z
BAGHLI   " b { g . l i
BAGINSKI  b @ . " g I n . s k i
BAGLEY   " b { g . l i
BAGLIO   " b { g . l i . o&U
BAGMAN   " b { g . m @ n
BAGNALL   " b { g . n @ l
BAGNATO  b A g . " n A . t o&U
BAGNELL   " b { g . n @ l
BAGPIPE   " b { g . % p a&I p
BAGPIPER   " b { g . % p a&I . p @`
BAGPIPES   " b { g . % p a&I p s
BAGS   " b { g z
BAGSBY   " b { g z . b i
BAGSHAW   " b { g . % S O 
BAGWELL   " b { . % g w E l
BAH   " b A 
BAHA'IS   " b A . h A . % I z
BAHAM   " b A . @ m
BAHAMA  b @ . " h A . m @
BAHAMAS  b @ . " h A . m @ z
BAHAMIAN  b @ . " h e&I . m i . @ n
BAHAN   " b { . h @ n
BAHE   " b e&I h
BAHENA   " b { . h I . n @
BAHIA   " b A . h i . @
BAHL   " b A l
BAHLER   " b A . l @`
BAHLS   " b A l z
BAHM   " b { m
BAHMAN   " b A . m @ n
BAHN   " b { n
BAHNER   " b A . n @`
BAHNSEN   " b A n . s @ n
BAHR   " b E r
BAHR(2)   " b A r
BAHRAIN  b A . " r e&I n
BAHRAIN'S  b A . " r e&I n z
BAHRAIN'S(2)  b a&I . " r e&I n z
BAHRAIN(2)  b a&I . " r e&I n
BAHRAINI  b @` . " e&I . n i
BAHRAINI(2)  b a&I . " r A . n i
BAHRAINI(3)  b A . " r e&I . n i
BAHRAINIAN  b @` . " e&I . n i . @ n
BAHRAINIAN(2)  b a&I . " r A . n i . @ n
BAHRAINIAN(3)  b A . " r e&I . n i . @ n
BAHRAINIS  b @` . " e&I . n i z
BAHRE   " b A r
BAHRENBURG   " b A . r @ n . b @` g
BAHT   " b A t
BAIDOA   % b a&I . " d o&U . @
BAIDOA'S   % b a&I . " d o&U . @ z
BAIDOAN   % b a&I . " d o&U . @ n
BAIDOAN'S   % b a&I . " d o&U . @ n z
BAIDOANS   % b a&I . " d o&U . @ n z
BAIDOAS   % b a&I . " d o&U . @ z
BAIE   " b a&I . i
BAIER   " b e&I . @`
BAIG   " b e&I g
BAIL   " b e&I l
BAILARD   " b e&I . l @` d
BAILBY   " b e&I l . b i
BAILE   " b e&I l
BAILED   " b e&I l d
BAILER   " b e&I . l @`
BAILES   " b e&I l z
BAILEY   " b e&I . l i
BAILEY'S   " b e&I . l i z
BAILEYS   " b e&I . l i z
BAILIE   " b e&I . l i
BAILIFF   " b e&I . l @ f
BAILIFF(2)   " b e&I . l I f
BAILIFFS   " b e&I . l @ f s
BAILIN   " b e&I . l I n
BAILING   " b e&I . l I N
BAILIWICK   " b e&I . l I . % w I k
BAILLARGEON  b @ . " l A r . d&Z I n
BAILLIE   " b e&I . l i
BAILLY   " b e&I . l i
BAILON   " b e&I . l @ n
BAILOR   " b e&I . l @`
BAILOUT   " b e&I l . % a&U t
BAILOUTS   " b e&I l . % a&U t s
BAILS   " b e&I l z
BAILY   " b e&I . l i
BAILYN   " b e&I . l I n
BAIM   " b e&I m
BAIN   " b e&I n
BAIN'S   " b e&I n z
BAINBRIDGE   " b e&I n . b r I d&Z
BAINBRIDGE'S   " b e&I n . b r I . d&Z @ z
BAINE   " b e&I n
BAINERD   " b e&I . n @` d
BAINES   " b e&I n z
BAINS   " b e&I n z
BAINTER   " b e&I n . t @`
BAINTON   " b e&I n . t @ n
BAIO   " b A . i . o&U
BAIR   " b E r
BAIRD   " b E r d
BAIRD'S   " b E r d z
BAIRNCO   " b E r n . k o&U
BAISCH   " b a&I S
BAISDEN   " b e&I s . d @ n
BAISE   " b e&I z
BAISLEY   " b e&I z . l i
BAIT   " b e&I t
BAITED   " b e&I . t I d
BAITING   " b e&I . t I N
BAITS   " b e&I t s
BAITY   " b e&I . t i
BAIUL   % b a&I . " u l
BAIUL'S   % b a&I . " u l z
BAIZE   " b e&I z
BAJA   " b A . % h A 
BAJARIN   " b { . d&Z @` . I n
BAJEMA  b A . " j e&I . m @
BAJOREK   " b { . d&Z @` . E k
BAK   " b { k
BAKA   " b A . k @
BAKALAR   " b { . k @ . l @`
BAKE   " b e&I k
BAKE-OFF   " b e&I k . " O f
BAKE-OFFS   " b e&I . " k O f s
BAKED   " b e&I k t
BAKELMAN   " b e&I . k @ l . m @ n
BAKEMAN   " b e&I k . m @ n
BAKER   " b e&I . k @`
BAKER'S   " b e&I . k @` z
BAKERIES   " b e&I . k @` . i z
BAKERS   " b e&I . k @` z
BAKERSFIELD   " b e&I . k @` z . % f i l d
BAKERY   " b e&I . k @` . i
BAKES   " b e&I k s
BAKEWARE   " b e&I k . % w E r
BAKEWELL   " b e&I . % k w E l
BAKEY   " b e&I . k i
BAKEY'S   " b e&I . k i z
BAKING   " b e&I . k I N
BAKKE   " b { k
BAKKEN   " b { . k @ n
BAKKER   " b { . k @`
BAKKER'S   " b { . k @` z
BAKKER'S(2)   " b e&I . k @` z
BAKKER(2)   " b e&I . k @`
BAKKERS   " b { . k @` z
BAKKERS(2)   " b e&I . k @` z
BAKLEY   " b { k . l i
BAKOS   " b A . k o&U z
BAKOWSKI  b @ . " k O f s . k i
BAKRIE   " b { k . r a&I
BAKSHI   " b { k . S i
BAKST   " b { k s t
BAKU  b A . " k u 
BAKULA  b @ . " k u . l @
BAL   " b { l
BALA   " b A . l @
BALABAN  b A . l A . " b A n
BALAGUER   " b { . l @ . g @`
BALAKUMAR   % b A . l @ . k u . " m A r
BALAN   " b e&I . l @ n
BALANCE   " b { . l @ n s
BALANCED   " b { . l @ n s t
BALANCER   " b { . l @ n . s @`
BALANCES   " b { . l @ n . s @ z
BALANCES(2)   " b { . l @ n . s I z
BALANCHINE   " b { . l @ n . % t&S i n
BALANCHINE'S   " b { . l @ n . % t&S i n z
BALANCING   " b { . l @ n . s I N
BALART   " b { . l A r t
BALAS   " b { . l @ s
BALASH   " b { . l @ S
BALATA   " b { . l @ . t @
BALAZS   " b O . l @ S
BALBACH   " b { l . b A k
BALBI   " b { l . b i
BALBINA  b A l . " b i . n @
BALBO   " b { l . b o&U
BALBOA  b A l . " b o&U . @
BALBONI  b A l . " b o&U . n i
BALBRIGGAN  b { l . " b r I . g @ n
BALBRIGGANS  b { l . " b r I . g @ n z
BALCER   " b e&I l . s @`
BALCEROWICZ  b { l . " s E . r @ . w I t s
BALCERZAK  b @ l . " t&S 3` . z @ k
BALCH   " b { l t&S
BALCHUNAS   " b { l . k u . n @ z
BALCOM   " b { l . k @ m
BALCONIES   " b { l . k @ . n i z
BALCONY   " b { l . k @ . n i
BALCOR   " b { l . k O r
BALD   " b O l d
BALDASSARE  b A l . d A . " s A . r i
BALDASSARI  b A l . d A . " s A . r i
BALDASSARRE  b O l . d @ . " s A . r i
BALDAUF   " b { l . d a&U f
BALDELLI  b A l . " d E . l i
BALDEMAR  b A l . d e&I . " m A r
BALDER   " b O l . d @`
BALDERAS   " b { l . d @` . @ z
BALDERDASH   " b O l . d @` . % d { S
BALDERRAMA  b A l . d E . " r A . m @
BALDERSON   " b { l . d @` . s @ n
BALDERSTON   " b { l . d @` . s t @ n
BALDEZ   % b A l . " d E z
BALDI   " b A l . d i
BALDING   " b O l . d I N
BALDINGER   " b O l . d I . N @`
BALDINI  b A l . " d i . n i
BALDINI'S  b A l . " d i . n i z
BALDINO  b A l . " d i . n o&U
BALDLY   " b O l d . l i
BALDNER   " b { l d . n @`
BALDNESS   " b O l d . n @ s
BALDO   " b A l . d o&U
BALDOCK   " b { l . d @ k
BALDONADO  b A l . d o&U . " n A . d o&U
BALDONI  b A l . " d o&U . n i
BALDOR   " b O l . d @`
BALDREE  b @ l . " d r i 
BALDRIC   " b { l . d r I k
BALDRIDGE   " b { l . d r I d&Z
BALDRIGE   " b O l . d r I d&Z
BALDRY   " b O l . d r i
BALDUCCI  b A l . " d u . t&S i
BALDUR  b A l . " d Ur r
BALDUS   " b A l . d I s
BALDWIN   " b O l d . w @ n
BALDWIN'S   " b O l d . w @ n z
BALDWIN(2)   " b O l d . w I n
BALDYGA   " b A l . d i . g @
BALE   " b e&I l
BALEEN  b @ . " l i n
BALEFUL   " b e&I l . f @ l
BALENTINE  b A . l E n . " t i . n i
BALES   " b e&I l z
BALESTRA  b @ . " l E s . t r @
BALESTRIERI  b A . l E . " s t r I . r i
BALEY   " b e&I . l i
BALFANZ   " b A l . f A n z
BALFE   " b e&I l f
BALFOUR   " b { l . f O r
BALI   " b A . l i
BALIAN   " b e&I . l i . @ n
BALICKI  b @ . " l I . k i
BALIK   " b A . l I k
BALILAN  b @ . " l I . l @ n
BALILES  b @ . " l i . l E z
BALIN   " b { . l I n
BALINESE   % b { . l I . " n i z
BALING   " b e&I . l I N
BALINSKI  b @ . " l I n . s k i
BALINT   " b A . l i n t
BALIS   " b A . l i z
BALISTRERI  b A . l i . " s t r E . r i
BALK   " b O k
BALK(2)   " b A l k
BALKAN   " b O l . k @ n
BALKANIZATION   % b O l . k @ . n I . " z e&I . S @ n
BALKANIZE   " b O l . k @ . % n a&I z
BALKANIZED   " b O l . k @ . % n a&I z d
BALKANS   " b O l . k @ n z
BALKCOM   " b { l . k @ m
BALKE   " b e&I l k
BALKED   " b O k t
BALKIN   " b { l . k I n
BALKING   " b O . k I N
BALKO   " b { l . k o&U
BALKS   " b O k s
BALKY   " b O . k i
BALL   " b O l
BALL'S   " b O l z
BALLA   " b { . l @
BALLAD   " b { . l @ d
BALLADE  b @ . " l A d
BALLADS   " b { . l @ d z
BALLADUR   " b { . l @ . d @`
BALLADUR'S   " b { . l @ . d @` z
BALLANCE   " b A . l @ n s
BALLANTINE   " b { . l @ n . % t a&I n
BALLANTRAE   " b { . l @ n . % t r e&I 
BALLANTYNE  b @ . " l { n . t a&I n
BALLARD   " b { . l @` d
BALLARD'S   " b { . l @` d z
BALLAS   " b { . l @ z
BALLAST   " b { . l @ s t
BALLASTS   " b { . l @ s t s
BALLASTS(2)   " b { . l @ s s
BALLASTS(3)   " b { . l @ s
BALLCLUB   " b O l . k l @ b
BALLCOCK   " b O l . " k A k
BALLCOCKS   " b O l . " k A k s
BALLE   " b e&I l
BALLED   " b O l d
BALLENGEE  b @ . " l E N . g i
BALLENGER   " b { . l I n . d&Z @`
BALLENTINE  b A . l E n . " t i . n i
BALLER   " b O . l @`
BALLERINA   % b { . l @` . " i . n @
BALLERINAS   % b { . l @` . " i . n @ z
BALLES   " b e&I l z
BALLESTER   " b { . l I . s t @`
BALLESTEROS   " b { . l I . s t @` . o&U z
BALLESTEROS(2)  b @ . " l E . s t @` . o&U s
BALLET  b { . " l e&I 
BALLET'S  b { . " l e&I z
BALLETS  b { . " l e&I z
BALLETTO   % b { . " l E . t o&U
BALLEW   " b { . l u
BALLGAME  b O l . " g e&I m
BALLI   " b { . l i
BALLIET   " b { . l i . I t
BALLIETT   " b { . % l i t
BALLIN   " b { . l I n
BALLING   " b O . l I N
BALLINGER   " b O . % l I n . d&Z @`
BALLISTIC  b @ . " l I . s t I k
BALLISTICS  b @ . " l I . s t I k s
BALLMAN   " b O l . m @ n
BALLMER   " b { l . m @`
BALLO   " b { . l o&U
BALLON   " b { . l @ n
BALLOON  b @ . " l u n
BALLOONED  b @ . " l u n d
BALLOONING  b @ . " l u . n I N
BALLOONIST  b @ . " l u . n I s t
BALLOONISTS  b @ . " l u . n I s t s
BALLOONS  b @ . " l u n z
BALLOR   " b O . l @`
BALLOT   " b { . l @ t
BALLOTING   " b { . l @ . t I N
BALLOTS   " b { . l @ t s
BALLOU  b @ . " l u 
BALLOW   " b { . l o&U
BALLOWE   " b { . l a&U
BALLPARK   " b O l . % p A r k
BALLPARKS   " b O l . % p A r k s
BALLPLAYER   " b O l . % p l e&I . @`
BALLPLAYERS  b O l . " p l e&I . @` z
BALLPOINT   " b O l . p O&I n t
BALLPOINTS   " b O l . p O&I n t s
BALLROOM   " b O l . % r u m
BALLROOMS   " b O l . % r u m z
BALLS   " b O l z
BALLWEG   " b { l . w I g
BALLY   " b { . l i
BALLY'S   " b { . l i z
BALLY'S(2)   " b e&I . l i z
BALLY(2)   " b e&I . l i
BALLYHOO   " b { . l i . " h u 
BALLYHOOED   " b { . l i . " h u d
BALM   " b A m
BALM(2)   " b A l m
BALMER   " b A . m @`
BALMES   " b A l . m E s
BALMORAL  b { l . " m O . r @ l
BALMORALS  b { l . " m O . r @ l z
BALMS   " b A m z
BALMS(2)   " b A l m z
BALMY   " b A . m i
BALODIA  b @ . " l o&U . d i . @
BALOG   " b { . l O g
BALOGA  b A . " l o&U . g @
BALOGH   " b { . l o&U
BALON  b A . " l O n
BALONEY  b @ . " l o&U . n i
BALOW   " b { . l o&U
BALSA   " b O l . s @
BALSAM   " b O l . s @ m
BALSAMO  b A l . " s A . m o&U
BALSBAUGH   " b O l z . % b O 
BALSER   " b e&I l . s @`
BALSIGER   " b { l . s I . g @`
BALSLEY   " b { l s . l i
BALSTER   " b { l . s t @`
BALT'S   " b O l t s
BALTAZAR  b A l . t A . " z A r
BALTER   " b O l . t @`
BALTES   " b e&I l t s
BALTHASAR   " b { l . T @ . s @`
BALTHASER   " b { l . T @ . s @`
BALTHAZAR   " b { l . T @ . z @`
BALTHAZOR  b A l . T A . " z O r
BALTHROP   " b { l . T r @ p
BALTIC   " b O l . t I k
BALTICA   " b { l . t I . k @
BALTICS   " b O l . t I k s
BALTIERRA  b A l . " t I . r @
BALTIMORE   " b O l . t @ . % m O r
